Spell Name,Spell Level,Range,Duration,Description
Levitate,"Magic-User, 2nd Level",20 feet/level,1 turn/level,"This spell allows the Magic-User to levitate himself, moving vertically up or down, but the spell itself provides no assistance with lateral movement. A wall, cliff side, or ceiling could, of course, be used to pull along hand-over-hand. Levitation allows up- or downward movement at a rate of up to 6 feet per minute (60 feet per turn), and the caster cannot levitate more than 20 feet per level from the ground level where the spell was cast. (Such range is applied both to movement into the air and to downward movement into a pit or chasm.)"
Light,"Cleric; Magic-User, 1st Level",60 feet,1 hour (+10 minutes/level),"The target person or object (at a range of up to 60 feet) produces light about as bright as a torch, to a radius of 20 feet. The Cleric version of this spell lasts 2 hours."
Lightning Bolt,"Magic-User, 3rd Level",240 feet (maximum distance),Instantaneous,"A bolt of lighting extends 60 feet from the targeted point, almost ten feet wide. Anyone in its path suffers 1d6 points of damage per level of the caster (half with a successful saving throw). The bolt always extends 60 feet, even if this means that it ricochets backward from something that blocks its path."
Limited Wish,"Magic-User, 7th Level",Referee’s discretion,Changes reality,"This powerful spell allows the caster to change reality, although in limited ways and sometimes only for limited periods of time. Such limitations will determined by the Referee in accordance with the circumstances."
Locate Animal,"Druid, 1st level",60 feet +10 feet/level,1 round/level,"Within the spell’s range, the caster perceives the correct direction (as the crow flies) toward the nearest specimen of a type of animal named in the casting of the spell."
Locate Object (Cleric),"Cleric, 3rd Level",90 feet,1 round/level,"Within the spell’s range, the Cleric perceives the correct direction (as the crow flies) toward an object the caster specifies by description in the spell. The object must be something the caster has seen, although the spell can detect an object in a general class of items known to the caster: stairs, gold, etc."
Locate Object (Magic-User),"Magic-User, 2nd Level",60 feet +10 feet/level,1 round/level,"Within the spell’s range, the caster perceives the correct direction (as the crow flies) toward an object the caster specifies by description in the spell. The object must be something the caster has seen, although the spell can detect an object in a general class of items known to the caster: stairs, gold, etc."
Locate Plants,"Druid, 2nd level",60 feet (+10 feet/level),1 round/level,The caster perceives the correct direction (as the crow flies) toward the nearest specimen of a type of plant named in the casting of the spell.
Lower Water,"Magic-User, 6th Level",240 feet,2 hours,"This spell lowers the depth and water level of lakes, rivers, wells, and other bodies of water to one-half normal."
Magic Jar,"Magic-User, 5th Level",See below,See below,"This spell relocates the caster’s life essence, intelligence, and soul into an object of virtually any kind. The ‘jar’ must be within 30 feet of the caster’s body for the transition to succeed. Once within the magic jar, the caster can possess the bodies of other creatures and people, provided that they are within 120 feet of the jar and fail a saving throw. The caster can return his or her soul to the magic jar at any time; if a body the caster controls is slain, the soul returns to the jar immediately. The Magic-User can return from the jar to his or her original body whenever desired, thus ending the spell. If the caster’s body is destroyed while his or her soul is in the magic jar, the soul no longer has a home other than within the magic jar, although the disembodied wizard can still possess other bodies as before. If the jar itself is destroyed while the Magic- User’s soul is within, the soul is lost."
Magic Missile,"Magic-User, 1st Level",150 feet,Immediate,"A magical missile flies where the caster directs, with a range of 150 feet. At the Referee’s discretion, this spell may have one of two effects: 1) The Magic-User must roll to hit the target with a +1 bonus to the roll. The missile inflicts 1d6+1 points of damage. 2) The missile hits automatically, doing 1d4+1 points of damage. In either case, the Magic-User casts an additional two missiles for every 5 levels of experience. Thus, at 5th level, the caster is able to hurl 3 magic missiles, and 5 missiles at 10th level."
Magic Mouth,"Magic-User, 2nd Level",Touch,Permanent until triggered or dispelled,"This enchantment is set upon an object, and the magic is triggered when certain conditions established by the caster are met. When that happens, a mouth appears on the object and speaks the message it has been commanded to speak. The message may be up to thirty words long."
Mass Charm,"Magic-User, 8th Level",120 feet,Until dispelled,"This spell operates in the same manner and with the same restrictions as Charm Person. However, it affects a total of 30 HD of creatures, in any combination. All saving throws are made with a penalty of -2."
Mass Invisibility,"Magic-User, 7th Level",240 feet,See below,"This spell makes 1d3 x 100 man- or horse-sized creatures (or objects) invisible, as if they had been affected by a single Invisibility spell. The spell can instead affect up to 6 creatures of dragon size. As with the Invisibility spell, the enchantment lasts until dispelled or until one of the creatures makes an attack."
Massmorph,"Magic-User, 4th Level",240 feet,Until negated by the caster or dispelled,One hundred or fewer man- or horse-sized creatures are changed to appear like innocent trees. The illusion is so perfect that creatures moving through the “forest” will not detect the deception.
Maze,"Magic-User, 9th Level",60 feet,epends on Intelligence,"The targeted creature disappears into a gap in reality, where strange curving and branching passages conceal the way out. Creatures with an Intelligence score lower than 6 require 2d4 x3 rounds (minutes) to escape the interdimensional prison. Creatures with Intelligence scores 7–11 require 2d4 rounds, and creatures with an intelligence of 12+ require only 1d4 rounds to puzzle their way back into normal reality. Although monsters are not described with specific Intelligence scores, it should not be hard to determine into which category any specific monster falls. Unless ruled otherwise by the Referee, there is no saving throw to avoid the spell."
Meteor Swarm,"Magic-User, 9th Level",240 feet,Instantaneous,"Tiny meteors swarm from the caster’s hands and explode into balls of fire where desired. The caster may hurl 4 normal fireballs for 10d6 damage or 8 fireballs of 10-foot diameter that inflict 5d6 points of damage. Targets are permitted a saving throw, allowing them to take half damage."
Mind Blank,"Magic-user, 8th Level",10-foot radius,24 hours,"The spell protects against all magic spying, including crystal balls, spells (including Wish), and even magical scrying by minor deities."
Mirror Image,"Magic-User, 2nd Level",Around caster,1 hour or until destroyed,"The spell creates 1d4 images of the caster, acting in perfect synchronization with him like mirror images. Attackers cannot distinguish the images from the caster, and may attack one of the images instead of the caster himself (determined randomly). When a hit is scored upon one of the images, it disappears."
Monster Summoning I,"Magic-User, 3rd Level",N/A,6 rounds (minutes),"The caster summons allies, who serve him until slain, or until the duration of the spell expires. The allies do not appear immediately; there is a delay of 1 turn (10 minutes) before they appear. Table 38: Monster Summoning I Die Roll Monster Summoned1 1 1d6 Giant Rats 2 1d3 Dwarves (Goblins) 3 1d3 Elves (Hobgoblins) 4 1d6 Kobolds 5 1d3 Orcs 6 1d3 Skeletons 1 Chaotically-aligned casters might get the monster in parenthesis, at the Referee’s discretion"
Monster Summoning II,"Magic-User, 4th Level",N/A,6 rounds (minutes),"The caster summons allies, who serve him until slain, or until the duration of the spell expires. The allies do not appear immediately; there is a delay of 1 turn (10 minutes) before they appear. Table 39: Monster Summoning II Die Roll Monster Summoned 1 1d2 Hobgoblins 2 1d2 Zombies 3 1d2 Gnolls 4 1d2 Bugbears 5 1d6 Orcs 6 1d6 Skeletons"
Monster Summoning III,"Magic-User, 5th Level",N/A,6 rounds (minutes),"The caster summons allies, who serve him until slain, or until the duration of the spell expires. The allies do not appear immediately; there is a delay of 1 turn (10 minutes) before they appear. Table 40: Monster Summoning III Die Roll Monster Summoned 1 1d4 Bugbears 2 1d2 Harpies 3 1d2 Ochre Jellies 4 1d2 Were-rats 5 1d2 Wights 6 1d2 Wild Boar"
Monster Summoning IV,"Magic-User, 6th Level",N/A,6 rounds (minutes),"The caster summons allies, who serve him until slain, or until the duration of the spell expires. The allies do not appear immediately; there is a delay of 1 turn (10 minutes) before they appear. Table 41: Monster Summoning IV Die Roll Monster Summoned 1 1 Gargoyle 2 1 Ogre 3 1 Owlbear 4 1 Shadow 5 1 Werewolf 6 1 Wraith"
Monster Summoning V,"Magic-User, 7th Level",N/A,6 rounds (minutes),"The caster summons allies, who serve him until slain, or until the duration of the spell expires. The allies do not appear immediately; there is a delay of 1 turn (10 minutes) before they appear. Table 42: Monster Summoning V Die Roll Monster Summoned 1 1 Cockatrice 2 1 Manticore 3 1 Minotaur 4 1 Ogre Mage 5 1 Salamander 6 1 Troll"
Monster Summoning VI,"Magic-User, 8th Level",N/A,6 rounds (minutes),"The caster summons allies, who serve him until slain, or until the duration of the spell expires. The allies do not appear immediately; there is a delay of 1 turn (10 minutes) before they appear. Table 43: Monster Summoning VI Die Roll Monster Summoned 1 1 Black Dragon 2 1 Chimera 3 1 Efreeti 4 1 Flesh Golem 5 1 Frost Giant 6 1 Hill Giant 7 1 Hydra (7 heads) 8 1 Mummy 9 1d2 Ogre Magi 10 1 White Dragon"
Monster Summoning VII,"Magic-User, 9th Level",N/A,6 rounds (minutes),"The caster summons allies, who serve him until slain, or until the duration of the spell expires. The allies do not appear immediately; there is a delay of 1 turn (10 minutes) before they appear. Table 44: Monster Summoning VII Die Roll Monster Summoned 1 1d2 Chimerae 2 1 Fire Giant 3 1 Hydra (9 heads) 4 1 Iron Golem 5 1 Lich 6 1 Purple Worm 7 1 Red Dragon 8 1 Stone Golem 9 1 Storm Giant 10 1 Titan"
Move Earth,"Magic-User, 6th Level",240 feet,1 hour; effects permanent,This spell can only be used above ground. It allows the caster to move hills and other raised land or stone at a rate of 6 feet per minute (60 feet per turn).
Neutralize Poison,"Cleric, 4th Level; Druid, 3rd Level",Touch,Immediate,"This spell counteracts poison if used promptly, but cannot be used to bring the dead back to life later. Obscurement See Obscuring Mist"
Obscuring Mist,"Druid, 2nd Level",20 feet,1 turn/level,"A misty vapor seethes outward from the casting point, billowing forth to fill a radius of 20 feet + 10 feet per level of the caster."
Part Water,"Cleric, 7th Level",240 feet,2 hours,"This spell creates a gap through water, to a depth of 20 feet. At 18th level and every level thereafter, the Cleric adds 10 feet to the depth of water parted, and 1 additional hour to the spell’s duration. Part Water Spell Level: Magic-User, 6th Level Range: 120 feet Duration: 1 hour This spell creates a gap through water, but only to a depth of 10 feet."
Passplant,"Druid, 5th Level",Touch (first tree),1 hour per level or until exit,"The caster may step into one tree and emerge from a distant tree of the same kind; both trees must be living, and have a girth as large as the caster’s own. The caster need not step out of the first tree immediately, but may wait within the tree for as long as desired (up to the limit of the spell’s duration) before leaving. It is possible for the caster to step from tree to tree in series without ending the spell; however, upon emerging from any tree into the outside, the caster ends the spell. The table below shows the maximum distance the caster may travel in a single step; this is also the maximum total distance that can be traveled in a single casting of the spell, even if the caster moves through multiple trees. Upon casting the spell, the caster will become aware of the various trees within the range of the spell, so there is no chance of “missing” the target. Table 45: Passplant Type of Tree Maximum Distance for Spell Oak, ash, yew 3,000 feet Elm, linden 2,000 feet Other deciduous 1,500 feet Any coniferous 1,000 feet All other trees 500 feet"
Passwall,"Magic-User, 5th Level",30 feet,3 turns (30 minutes),"This spell creates a hole through solid rock, about 7 feet high, 10 feet wide, and 10 feet deep (possibly deeper at the discretion of the Referee). The hole closes again at the end of the spell’s duration."
Permanency,"Magic-User, 8th Level",See below,Permanent until dispelled by an opponent of,"twice the caster’s level This spell makes the effect of another spell permanent—unless a Magic- User of twice the caster’s level dispels it. No more than one Permanency is ordinarily possible on any one object, and no more than two upon a creature. Considerable Referee discretion is required for the use of this spell; many spells should not be subject to being made permanent."
Phantasmal Force,"Magic-User, 2nd Level",240 feet,Until concentration ends,"This spell creates an illusion that seems realistic to all who view it. The illusion disappears when it is touched, but if the viewer believes the illusion is real, it can cause damage. Unless the Referee rules otherwise, victims of the spell are permitted a saving throw, and the illusion cannot cause more than 2d6 points of damage per victim. This will depend on circumstances; a truly brilliant use of the spell can be quite devastating, and a poorly thought-out illusion might cause almost immediate disbelief."
Phase Door,"Magic-User, 7th Level",10 feet from caster,Seven uses,"The phase door is an invisible portal about 7 feet high, 10 feet wide, and 10 feet deep, accessible only to the caster. A barrage of Dispel Magic spells can close the passage, but only if the combined level of the dispelling casters is twice that of the portal’s creator. Plant Door See Plant Doorway"
Plant Doorway,"Druid, 4th Level",Passage begins where caster stands,3 turns + 1 turn/level,"This spell opens a pathway for the caster through even the deepest and most tangled growths of plants, thorns, and trees. The pathway can be made up to 5 feet wide, 6 feet tall, and 100 feet in length, but only the caster can move through it. The Druid may choose to remain housed safely inside a tree, if the spell has opened a passage through one. It is possible to remain within the tree after the spell expires; for as long as desired, in fact, before leaving it."
Plant Growth,"Druid, 3rd Level; Magic-User, 4th Level",240 feet,Permanent until dispelled,"Undergrowth in the area suddenly grows into an impassable forest of thorns and vines. Up to 300 square feet of ground can be affected by this spell and the caster can decide the shape of the area to be enchanted. An alternate version (Referee’s decision) would allow the spell to affect an area of 300 feet x 300 feet, for a total of 90,000 square feet)."
Polymorph Object,"Magic-User, 8th Level",240 feet,Referee’s discretion,"An object can be turned into another object, animal, vegetable, or mineral. The degree of change will affect the spell’s duration. Animal-to-animal changes, vegetable-to-vegetable changes, and mineral-to-mineral changes are all likely to remain permanent until dispelled. Thus, turning a human into an orc, or turning a wall into a pile of sand, would both result in a permanent change. On the other hand, turning a shrub into a thinking human being would last only a small number of turns. Determining how long a proposed use of the spell will last is the province of the Referee; it is important to remember that this is an eighth-level spell of considerable power—but not as powerful as a ninth-level Wish spell."
Polymorph Other,"Magic-User, 4th Level",240 feet,Permanent until dispelled,"This spell allows the caster to turn another being into a different type of creature, such as a dragon, a garden slug, or of course, a frog or newt. The polymorphed creature gains all the abilities of the new form, but retains its own mind and hit points."
Polymorph Self,"Magic-User, 4th Level",Caster,1 hour or Referee’s discretion,"The caster assumes the form of any object or creature, gaining the new form’s attributes (the use of wings, for example), but not its hit points or combat abilities. The Referee might allow the benefit of the new form’s armor class, if it is due to heavily armored skin. A great deal of the spell’s effect is left to the Referee to decide."
"Power Word, Blind","Magic-User, 8th Level",120 feet,1d4 or 2d4 days (See below),"The caster speaks a word of power to a particular creature. If that creature has 40 hit points or fewer, it is instantly blinded for 2d4 days; if the creature has from 41 to 80 hit points, it is blinded for 1d4 days. If the creature has more than 80 hit points it is not affected by the spell. No saving throw applies."
"Power Word, Kill","Magic-User, 9th Level",120 feet,Immediate,"The caster speaks a word of power to a particular creature. If that creature has 50 hit points or fewer, it is slain by the word it hears; if it has more than 50 hit points it is not affected by the spell. No saving throw is permitted."
"Power Word, Stun","Magic-User, 7th Level",120 feet,1d6 or 2d6 turns (See below),"The caster speaks a word of power to a particular creature. If that creature has 35 or fewer hit points, it is instantly stunned for 2d6 turns; if the creature has from 36 to 70 hit points, it is stunned for only 1d6 turns. If the creature has more than 70 hit points it is not affected by the spell. No saving throw is permitted."
Prayer,"Cleric, 3rd Level",30 feet,Following melee round,"The Prayer spell seeks short-term favor from the gods to help some other spell or attack to succeed. Prayer affects a 20-foot x 20-foot area, causing a saving throw penalty to all creatures in that area. The penalty is a -1, plus an additional -1 for every ten caster levels. Thus, a 10th level Cleric causes a saving throw penalty of -2. The penalty actually takes effect in the melee round following the one in which it was cast."
Predict Weather,"Druid, 1st Level",Centered on caster,Immediate,"The Druid silently drinks in knowledge from the surrounding area, becoming attuned to the patterns of air, wind, earth and fire. Within moments, the character can predict what the weather conditions will be for the next twelve hours in the immediate vicinity (2 square miles/ level). As with most forecasts of weather, conditions may change unexpectedly, giving rise to a 5% chance that the Druid’s prediction will, ultimately, prove to be incorrect."
Prismatic Sphere,"Magic-User, 9th Level",10-foot sphere,1 hour,"A sphere of seven colors whirls about the Magic-User, with a radius of 10 feet. The glowing colors form a layered spectrum; to destroy the sphere, each layer must be destroyed in turn from Red to Orange, to Yellow, to Blue, to Indigo, and then to the innermost Violet layer. Any creature of 7 or fewer hit dice that looks upon the sphere will be blinded for 1d6 turns. Table 46: Prismatic Sphere Layer Effects of Color Negated By Red Causes 12 points of damage when touched. Stops any magic arrows or missiles (including the spell Magic Missile). Ice Storm or other cold-based attack Orange Causes 24 points of damage when touched. Stops arrows and any other non-magical missile. Lightning Bolt or other electrical attack Yellow Causes 48 points of damage when touched. Blocks all breath weapons. Magic Missile spell or a magical arrow Green Causes death (saving throw allowed) when touched. Blocks any scrying and detection-type spells from seeing within. Passwall spell or other earth-moving magic Blue Turns flesh to stone when touched (saving throw allowed). Blocks all divine (Clerical) magic from passing through. Disintegrate spell (may be from a wand or item) Indigo Causes death and destroys the soul utterly when touched (saving throw allowed). Dispel Magic Violet Causes permanent insanity when touched. Blocks all arcane (Magic- User) spells. Continual Light"
Produce Fire,"Druid, 4th Level",30 feet,1 turn (10 minutes),"This spell instantly creates fire in an area of up to 10 feet x 10 feet. The fire burns for no longer than ten minutes without fuel, but will set alight any flammable materials in the area where it was summoned forth. The spell may also be reversed to quench flames rather than ignite them."
Produce Flame,"Druid, 2nd Level",Palm of hand,2 turns/level,"Flame ignites from nowhere in the palm of the caster’s hand, causing no damage to the caster, but otherwise as hot as natural fire. It can be used while held, or thrown to a distance of 30 feet, to ignite flammable materials. For so long as the druid-fire is in the caster’s hand, it can be extinguished immediately whenever the caster wishes it gone."
Project Image,"Magic-User, 6th Level",240-foot sphere,1 hour,"The caster projects an image of himself or herself, to a maximum range of 240 feet. Not only does the projected image mimic the caster’s sounds and gestures, but also any spells being cast will appear to originate from the image."
Protection from Evil,"Cleric, 1st Level; Magic-User, 1st Level",Caster,2 hours,"Creates a magical field of protection immediately around the caster, blocking out all enchanted monsters such as elementals and demons). Evil monsters suffer a -1 penalty to hit the caster, and the caster gains +1 on all saving throws against such attacks. If the caster already has any magical bonuses to saving throws or armor class, the bonus from the magic circle has no effect, although the protective circle still functions against enchanted creatures. The Magic-User version of this spell is exactly the same as the one used by the Cleric, except that it has a duration time of 1 hour."
"Protection from Evil, 10-Foot Radius","Cleric, 4th Level; Magic-User, 3rd Level",Centered on caster,1 hour,"The spell creates a magical field of protection, ten feet in radius, around the caster. The field blocks out all enchanted monsters (such as elementals and demons). Evil monsters suffer a -1 penalty to hit anyone within the protective globe, and these shielded individuals gain +1 on all saving throws against such attacks. If a person in the circle already has any magical bonuses to saving throws or armor class, the bonus from the magic circle has no effect for that person, although the protective circle still functions against enchanted creatures."
Protection from Fire,"Druid, 3rd Level",Touch,3 turns +1 turn/level,"Protection from Fire may be cast on another person, but it confers a great deal more eldritch warding if it is woven personally around the caster. When used to protect another creature, the spell’s warding grants complete immunity to normal fire and cuts damage from magical fire in half. When used to ward the caster, the spell also grants complete immunity against one exposure to magical fire, after which it functions normally."
Protection from Lightning,"Druid, 4th Level",Touch,6 turns +1 turn/level,"This spell protects any creature from lightning, reducing any damage by one-half. Once lightning strikes, however, the spell ends."
Protection from Normal Missiles,"Magic-User, 3rd Level",Caster,2 hours,"The caster becomes invulnerable to non-magical missiles, although larger missiles such as boulders will overcome the spell’s magic."
Purify Food and Drink,"Cleric, 1st Level",Close/Touch (Referee’s discretion),Immediate,"Enough food and water for up to a dozen people is made pure, removing spoilage and poisons."
Purify Water,"Druid, 1st Level",Close/Touch (Referee’s discretion),Immediate,"Approximately ten gallons of water is made pure, removing all poisons, algae, and other such contaminants."
Pyrotechnics,"Druid, 3rd Level; Magic-User, 2nd Level",240 feet,1 hour,"The caster creates either fireworks or blinding smoke from a normal fire source such as a torch or campfire. The Referee will decide exactly how much smoke (or fireworks) is produced, what effect it has, and what happens to it as it is produced, but the amount of smoke will definitely be more than 8000 cubic feet (roughly 20 x 20 x 20 feet)."
Quest,"Cleric, 5th Level",Speaking range,Until completed,"If the spell succeeds (saving throw applies), the caster may set a task for the spell’s victim. If the victim does not diligently work at performing the task, a deadly weakness will set in (50% reduction in Strength), and an attempt to entirely abandon the quest incurs a curse set by the caster in the wording of the original Quest. The details, of course, must be approved by the Referee."
Raise Dead,"Cleric, 5th Level",Close/Touch (Referee’s discretion),Immediate,"Raise Dead allows the Cleric to raise a corpse from the dead, provided it has not been dead too long. The normal time limit is 5 days, but for every caster level higher than 8th, the time limit extends another 5 days. Characters with low Constitution might not survive the ordeal, and even for those with strong Constitution a period of at least a week is required before they can function normally. This spell functions only on “human-like” races, that is, ones that can be used for player characters."
Read Languages,"Magic-User, 1st Level",Normal reading distance,One or two readings,"This spell allows the caster to decipher directions, instructions, and formulae in languages unknown to the caster. This can be particularly useful for treasure maps, but it does not solve any codes."
Read Magic,"Magic-User, 1st Level",Caster only,2 scrolls or other magical writings,"This spell allows the caster to read the magical writings upon scrolls and (occasionally) dungeon walls. Without the use of this spell, magical writing cannot be read even by a Magic-User."
Reincarnation (Druidic),"Druid, 7th Level",Touch,Instantaneous,"This spell brings a dead person’s soul back from the dead, but the soul reappears in a newly formed body. Druidic Reincarnation will not affect someone who has been dead more than a week. Roll 1d100, and on a roll of 01-75 the result is determined from the same table as would be used for a Magic-User’s Reincarnation spell (below). If the percentile dice gave a result of 76-00, roll 1d6 on the following table: Table 47: Druidic Reincarnation Die Roll Reincarnated as … 1 Bear 2 Lion 3 Mouse 4 Raven 5 Stag 6 Wolf"
Reincarnation (Magic-User),"Magic-User, 6th Level",Touch,Instantaneous,"This spell brings a dead person’s soul back from the dead, but the soul reappears in a newly formed body. Reincarnation will not affect someone who has been dead more than a week. Roll 1d20 on the following table. If the resulting creature is a normal character race, roll 1d6 to determine the character’s new level. Table 48: Reincarnation by Magic-Users Die Roll Reincarnated as... 1 Bugbear 2 Centaur 3 Dog, Cat, or Wolf 4 Dwarf 5 Elf 6 Gnoll 7 Goblin 8 Half-orc 9 Harpy 10 Hobgoblin 11 Human 12 Kobold 13 Lizard man 14 Lycanthrope (Werewolf or other) 15 Minotaur 16 Ogre 17 Ogre Mage 18 Orc 19 Troll 20 Wyvern"
Remove Curse,"Cleric, 3rd Level; Magic-User, 4th Level",Very close,Immediate,This spell removes one curse from a person or object.
Repel Wood,"Druid, 6th Level",20 feet/level,1 turn/level,"When this spell is cast, a mystical druidic force issues forth from a place designated by the caster, in roughly the shape of a wall 120 feet across. This power rolls forward at a rate of 5 feet per round directly away from the caster, inexorably pressing all wood, or wooden objects, backward. Once the power is set in motion, it cannot be stopped other than by the caster’s command"
Repulsion,"Magic-User, 6th Level",120 feet,1 hour,"Any creature trying to move toward the caster finds itself moving away, instead."
Restoration,"Cleric, 7th Level",Referee’s discretion,Immediate,"This spell restores levels lost to such horrible creatures as wraiths and shadows. An evil reversal of the spell allows a Chaotically aligned Cleric to drain a level from the target. The “good” version of the spell is exhausting to the caster, incapacitating him for 2d10 days. At the discretion of the Referee, this spell may restore lost points of attribute scores as well as lost levels."
Resurrection,"Cleric, 7th Level",Referee’s discretion,Immediate,"This spell (also known as “Raise Dead Fully”) raises the dead back to life, in the same manner as the Raise Dead spell. It is, however, considerably more powerful: the person raised from the dead needs no time to recuperate from the experience of death, and suffers no other penalties. An evil “reversal” of the spell can also be cast, which causes death with no saving throw."
Reverse Gravity,"Magic-User, 7th Level",90 feet,1 round (minute),"The spell reverses gravity in a cubical area approximately 30 feet x 30 feet x 30 feet in size. Everything in the area falls upward, and then when the spell ends it all falls back down again."
Rope Trick,"Magic-User, 3rd Level",As far as the caster can throw a rope,1 hour +1 turn/level,"The caster tosses a rope into the air and it hangs there, waiting to be climbed. The caster and up to three others can climb the rope and disappear into a small ‘other’ dimension. The rope itself can be pulled into the pocket dimension, or left outside. If it is left outside, however, someone may steal it."
Shape Change,"Magic-User, 9th Level",Caster,1d6+10 turns +1 turn/level,"When the caster casts this spell upon him- or herself, it allows the caster to turn at will into a variety of creatures. In each form, the wizard gains the characteristics of the creature, much as with the Polymorph Others spell. Thus, turning into a dragon actually allows the caster to use the dragon’s breath weapon. The caster might then choose to turn into a raven, then a frog, or whatever other creature is chosen. It is not, of course, required that the caster use more than one shape—remaining as a dragon for the duration of the spell works perfectly well."
Shield,"Magic-User, 1st Level",Caster,2 turns,"The caster conjures up an invisible shield that interposes itself in front of attacks. The shield improves the caster’s armor class to 2 [17] against missile attacks and to 4 [15] against other (melee) attacks. If the caster’s armor class is already better than the spell would grant, the spell has no effect."
"Silence, 15-Foot Radius","Cleric, 2nd Level",180 feet,12 turns,"Magical silence falls in an area with a 15-foot radius around the targeted creature or object, and moves with it. Nothing from this area, no matter how loud, can be heard outside the radius."
Simulacrum,"Magic-User, 7th Level",Touch,Permanent,"The caster creates a duplicate of himself or some other person. The basic form is created from snow and ice, and must then be animated. (Animate Dead is an acceptable means.) A Limited Wish (along with the actual Simulacrum spell) is then used to imbue the animated form with intelligence and certain knowledge of the person being simulated. The simulacrum gains 30–60% (use a d4) of the simulated creature’s knowledge and experience. The simulacrum follows its creator’s orders. Note that the simulacrum is not a perfect representation of the original. Side by side, the differences are obvious, and the simulacrum is a magical creature detectable with a Detect Magic spell. If the original of the simulacrum dies, a strange effect begins: the simulacrum begins to gain the knowledge and experience of the dead individual at a rate of 1% per week, to a maximum of 90%."
Sleep,"Magic-User, 1st Level",240 feet,1 hour,This spell puts enemies into an enchanted slumber (no saving throw permitted). It affects creatures based on their hit dice. Table 49: Sleep Hit Dice of Victims Number Affected Less than 1 to 1 2d8 1+ to 2+ 2d6 3 to 3+ 1d6 4 to 4+ 1
Slow,"Magic-User, 3rd Level",240 feet,3 turns (30 minutes),"In an area with a radius of 60 feet around the point where the spell is targeted, as many as 24 creatures failing a saving throw can move and attack only at half speed."
Snake Charm,"Cleric, 2nd Level",60 feet,1d4+2 turns,One hit die (1 HD) of snakes can be charmed per level of the caster. The snakes obey the caster’s commands.
Speak with Animals,"Cleric, 2nd Level; Druid, 2nd Level",Caster,6 turns,"The caster can speak with normal animals. There is a good chance that the animals will provide reasonable assistance if requested, and they will not attack – unless the caster uses the spell to say something particularly offensive."
Speak with Dead,"Cleric, 3rd Level",Close/Touch (Referee’s discretion),3 questions,"The caster can ask three questions of a corpse, and it will answer, although the answers might be cryptic. Only higher-level Clerics have enough spiritual power to command answers of long-dead corpses. Clerics lower than 8th level can gain answers only from bodies that have been dead 1d4 days. Clerics levels 8–14 can speak to corpses that have been dead 1d4 months. Clerics of level 15+ can gain answers from a corpse of any age, including thousand-year-old relics, as long as the body is still relatively intact. Note that a die roll is involved here: for example, a seventh-level Cleric attempting to speak with a two-day-old corpse might still fail—the d4 roll might indicate that only a one-day-old corpse can be reached with this particular attempt at the spell."
Speak with Monsters,"Cleric, 6th Level",Speaking range,3d4 questions,"The caster can speak with any type of monster, for the duration of a certain number of questions. The monster is not forced to answer."
Speak with Plants,"Cleric, 4th Level; Druid, 4th Level",Speaking range,6 turns,"The caster can speak and understand the speech of plants. Plants smaller than trees will obey commands, moving aside when requested, etc."
Sticks to Snakes,"Cleric, 4th Level; Druid, 5th Level",120 feet,1 hour,"The caster may turn as many as 2d8 normal sticks into snakes, each one having a 50% chance of being venomous. The snakes follow commands, but turn back into sticks at the end of the spell, or when killed."
Stone to Flesh,"Magic-User, 6th Level",120 feet,Permanent until reversed,"This spell can be used to counteract the negative effects of monsters who petrify their victims. It can also be reversed to turn flesh into stone, as desired by the caster. A saving throw is permitted to avoid being turned to stone, but if the spell succeeds the victim is transformed into a statue; the stone-to-flesh version of the spell will restore the victim to normal."
Strength,"Magic-User, 2nd Level",Touch,8 hours (80 turns),"This spell may be cast upon a Fighter or a Cleric. For the duration of the spell, a Fighter gains 2d4 points of Strength, and a Cleric gains 1d6 points of Strength. Strength cannot exceed 18 unless the Referee chooses to allow additional bonuses resulting from the additional Strength."
Suggestion,"Magic-User, 3rd Level",Shouting distance,1 week,"The caster speaks a hypnotic suggestion to the intended victim. Victims who fail a saving throw will carry out the suggestion, as long as it can be performed within a week. The suggestion might not call for the action to be carried out immediately, and can be contingent upon something else happening first. A suggestion that the victim commit suicide is only 1% likely to be obeyed."
Symbol (Cleric),"Cleric, 7th Level",Referee’s discretion (according to symbol),Varies (depends upon symbol used),"A Symbol spell creates a deadly magical trap, written into the shape of a divine rune. The rune’s magic is activated when any person or creature hostile to the caster reads it, or passes over, under, or past it. Various different runes are known, and others may be possible: Symbol of Discord: Causes all creatures in the hostile group to begin arguing, and possibly fighting amongst themselves with lethal intent. Symbol of Fear: Casts a Fear spell. Symbol of Sleep: Casts a Sleep spell affecting double the normal number of creatures and with double the normal duration. Symbol of Stunning: Up to 150 hit points of creatures are affected as per a Power Word, Stun. Divine symbols cannot be crafted in such a way that would cause a permanent effect (such as insanity) upon those affected."
